"Points:0","Points:1","Points:2"
0.10617,0.055319,0
0.12315,0.057707,0
0.14164,0.059889,0
0.16171,0.061837,0
0.18337,0.063521,0
0.20665,0.06491,0
0.23154,0.065978,0
0.258,0.066697,0
0.28597,0.06705,0
0.31536,0.067022,0
0.34604,0.066608,0
0.37786,0.065812,0
0.41063,0.064645,0
0.44415,0.063127,0
0.4782,0.061288,0
0.51252,0.059161,0
0.54688,0.056786,0
0.58101,0.054206,0
0.61469,0.051463,0
0.64767,0.048603,0
0.67975,0.045666,0
0.71073,0.042694,0
0.74047,0.03972,0
0.76882,0.036779,0
0.79569,0.033899,0
0.82101,0.031103,0
0.84475,0.028412,0
0.86688,0.025843,0
0.88743,0.023407,0
0.90641,0.021114,0
0.92388,0.01897,0
0.9399,0.016978,0
0.95455,0.015131,0
0.96793,0.013395,0
0.98022,0.01164,0
0.99172,0.0093552,0
1.0047,0.0058723,0
1.0035,1.2252e-11,0
1.0047,-0.0058723,0
1.0065,-0.0077199,0
0.99278,-0.012308,0
0.9809,-0.015176,0
0.96839,-0.017118,0
0.95493,-0.018868,0
0.94025,-0.020665,0
0.92422,-0.022594,0
0.90674,-0.024677,0
0.88775,-0.026916,0
0.8672,-0.029304,0
0.84506,-0.031833,0
0.82132,-0.034488,0
0.79599,-0.037253,0
0.76911,-0.040107,0
0.74075,-0.043025,0
0.71101,-0.04598,0
0.68002,-0.048937,0
0.64793,-0.051861,0
0.61494,-0.054712,0
0.58126,-0.057448,0
0.54711,-0.060025,0
0.51273,-0.062399,0
0.47839,-0.064527,0
0.44433,-0.066371,0
0.41078,-0.067895,0
0.37799,-0.069071,0
0.34614,-0.06988,0
0.31543,-0.070308,0
0.28601,-0.070354,0
0.258,-0.070022,0
0.23149,-0.069327,0
0.20655,-0.068287,0
0.18322,-0.066928,0
0.16149,-0.065278,0
0.14136,-0.063367,0
0.12279,-0.061225,0
0.10573,-0.058881,0
0.090113,-0.056358,0
0.075867,-0.053677,0
0.062909,-0.050849,0
0.051153,-0.047874,0
0.040509,-0.044741,0
0.030887,-0.041417,0
0.022206,-0.037846,0
0.014403,-0.033945,0
0.00745,-0.02961,0
0.0013838,-0.024732,0
-0.0036729,-0.01923,0
-0.0075059,-0.013125,0
-0.009857,-0.006605,0
-0.01062,-1.0579e-11,0
-0.009857,0.006605,0
-0.0075059,0.013125,0
-0.0036729,0.01923,0
0.0013838,0.024732,0
0.00745,0.02961,0
0.014403,0.033945,0
0.022206,0.037846,0
0.030887,0.041417,0
0.040509,0.044741,0
0.051153,0.047874,0
0.062909,0.050849,0
0.075867,0.053677,0
0.090113,0.056358,0
0.10573,0.058881,0
0.12279,0.061225,0
0.14136,0.063367,0
0.16149,0.065278,0
0.18322,0.066928,0
0.20655,0.068287,0
0.23149,0.069327,0
0.258,0.070022,0
0.28601,0.070354,0
0.31543,0.070308,0
0.34614,0.06988,0
0.37799,0.069071,0
0.41078,0.067895,0
0.44433,0.066371,0
0.47839,0.064527,0
0.51273,0.062399,0
0.54711,0.060025,0
0.58126,0.057448,0
0.61494,0.054712,0
0.64793,0.051861,0
0.68002,0.048937,0
0.71101,0.04598,0
0.74075,0.043025,0
0.76911,0.040107,0
0.79599,0.037253,0
0.82132,0.034488,0
0.84506,0.031833,0
0.8672,0.029304,0
0.88775,0.026916,0
0.90674,0.024677,0
0.92422,0.022594,0
0.94025,0.020665,0
0.95493,0.018868,0
0.96839,0.017118,0
0.9809,0.015176,0
0.99278,0.012308,0
1.0065,0.0077199,0
1.0055,2.0097e-11,0
1.0065,-0.0077199,0
1.0084,-0.0096072,0
0.99427,-0.015643,0
0.9819,-0.019296,0
0.96903,-0.021579,0
0.9554,-0.023414,0
0.94066,-0.025174,0
0.9246,-0.027022,0
0.90712,-0.029016,0
0.88812,-0.031173,0
0.86757,-0.033489,0
0.84542,-0.035953,0
0.82167,-0.038553,0
0.79633,-0.041271,0
0.76945,-0.044084,0
0.74108,-0.046968,0
0.71133,-0.049894,0
0.68033,-0.052828,0
0.64824,-0.055733,0
0.61524,-0.05857,0
0.58154,-0.061295,0
0.54737,-0.063866,0
0.51299,-0.066238,0
0.47863,-0.068368,0
0.44454,-0.070217,0
0.41097,-0.071751,0
0.37815,-0.072941,0
0.34627,-0.073768,0
0.31552,-0.074219,0
0.28606,-0.074292,0
0.258,-0.073992,0
0.23144,-0.073332,0
0.20645,-0.072334,0
0.18305,-0.071022,0
0.16125,-0.069425,0
0.14105,-0.067572,0
0.12239,-0.065493,0
0.10523,-0.063216,0
0.0895,-0.060762,0
0.075124,-0.058148,0
0.062012,-0.055377,0
0.050069,-0.052441,0
0.039199,-0.049308,0
0.029302,-0.045922,0
0.020296,-0.042201,0
0.012121,-0.038036,0
0.0047709,-0.033306,0
-0.0016875,-0.027894,0
-0.0070958,-0.021733,0
-0.011208,-0.014864,0
-0.013741,-0.0075032,0
-0.014568,-2.3188e-11,0
-0.013741,0.0075032,0
-0.011208,0.014864,0
-0.0070958,0.021733,0
-0.0016875,0.027894,0
0.0047709,0.033306,0
0.012121,0.038036,0
0.020296,0.042201,0
0.029302,0.045922,0
0.039199,0.049308,0
0.050069,0.052441,0
0.062012,0.055377,0
0.075124,0.058148,0
0.0895,0.060762,0
0.10523,0.063216,0
0.12239,0.065493,0
0.14105,0.067572,0
0.16125,0.069425,0
0.18305,0.071022,0
0.20645,0.072334,0
0.23144,0.073332,0
0.258,0.073992,0
0.28606,0.074292,0
0.31552,0.074219,0
0.34627,0.073768,0
0.37815,0.072941,0
0.41097,0.071751,0
0.44454,0.070217,0
0.47863,0.068368,0
0.51299,0.066238,0
0.54737,0.063866,0
0.58154,0.061295,0
0.61524,0.05857,0
0.64824,0.055733,0
0.68033,0.052828,0
0.71133,0.049894,0
0.74108,0.046968,0
0.76945,0.044084,0
0.79633,0.041271,0
0.82167,0.038553,0
0.84542,0.035953,0
0.86757,0.033489,0
0.88812,0.031173,0
0.90712,0.029016,0
0.9246,0.027022,0
0.94066,0.025174,0
0.9554,0.023414,0
0.96903,0.021579,0
0.9819,0.019296,0
0.99427,0.015643,0
1.0084,0.0096072,0
1.0078,3.1017e-11,0
1.0084,-0.0096072,0
1.0106,-0.011526,0
0.9963,-0.019336,0
0.98332,-0.024015,0
0.96996,-0.02684,0
0.95602,-0.028888,0
0.94114,-0.030662,0
0.92503,-0.032427,0
0.90752,-0.034307,0
0.88852,-0.036348,0
0.86797,-0.038557,0
0.84582,-0.040928,0
0.82207,-0.043447,0
0.79673,-0.046094,0
0.76984,-0.048848,0
0.74146,-0.051681,0
0.71171,-0.054564,0
0.6807,-0.057463,0
0.64859,-0.06034,0
0.61558,-0.063155,0
0.58187,-0.065865,0
0.54769,-0.068427,0
0.51329,-0.070795,0
0.47891,-0.072928,0
0.4448,-0.074785,0
0.4112,-0.076332,0
0.37834,-0.077543,0
0.34643,-0.078395,0
0.31564,-0.078878,0
0.28613,-0.07899,0
0.25802,-0.078736,0
0.23141,-0.07813,0
0.20635,-0.077193,0
0.18288,-0.07595,0
0.161,-0.07443,0
0.1407,-0.072662,0
0.12194,-0.070676,0
0.10467,-0.068496,0
0.088804,-0.066141,0
0.074267,-0.063618,0
0.06096,-0.06092,0
0.048777,-0.058016,0
0.03761,-0.054852,0
0.027357,-0.051343,0
0.017935,-0.04738,0
0.0093063,-0.042836,0
0.0014919,-0.037579,0
-0.0054041,-0.031501,0
-0.011187,-0.024553,0
-0.015584,-0.016804,0
-0.018293,-0.0084961,0
-0.019183,-4.3755e-11,0
-0.018293,0.0084961,0
-0.015584,0.016804,0
-0.011187,0.024553,0
-0.0054041,0.031501,0
0.0014919,0.037579,0
0.0093063,0.042836,0
0.017935,0.04738,0
0.027357,0.051343,0
0.03761,0.054852,0
0.048777,0.058016,0
0.06096,0.06092,0
0.074267,0.063618,0
0.088804,0.066141,0
0.10467,0.068496,0
0.12194,0.070676,0
0.1407,0.072662,0
0.161,0.07443,0
0.18288,0.07595,0
0.20635,0.077193,0
0.23141,0.07813,0
0.25802,0.078736,0
0.28613,0.07899,0
0.31564,0.078878,0
0.34643,0.078395,0
0.37834,0.077543,0
0.4112,0.076332,0
0.4448,0.074785,0
0.47891,0.072928,0
0.51329,0.070795,0
0.54769,0.068427,0
0.58187,0.065865,0
0.61558,0.063155,0
0.64859,0.06034,0
0.6807,0.057463,0
0.71171,0.054564,0
0.74146,0.051681,0
0.76984,0.048848,0
0.79673,0.046094,0
0.82207,0.043447,0
0.84582,0.040928,0
0.86797,0.038557,0
0.88852,0.036348,0
0.90752,0.034307,0
0.92503,0.032427,0
0.94114,0.030662,0
0.95602,0.028888,0
0.96996,0.02684,0
0.98332,0.024015,0
0.9963,0.019336,0
1.0106,0.011526,0
1.0105,4.594e-11,0
1.0106,-0.011526,0
1.0132,-0.013483,0
0.99897,-0.023347,0
0.98532,-0.029323,0
0.9713,-0.032943,0
0.9569,-0.035389,0
0.94175,-0.037286,0
0.92551,-0.039007,0
0.90796,-0.040761,0
0.88896,-0.04265,0
0.8684,-0.044711,0
0.84626,-0.046948,0
0.82251,-0.04935,0
0.79717,-0.051896,0
0.77027,-0.054563,0
0.7419,-0.057323,0
0.71214,-0.060145,0
0.68112,-0.062994,0
0.64901,-0.06583,0
0.61598,-0.068615,0
0.58226,-0.071303,0
0.54807,-0.073851,0
0.51364,-0.076213,0
0.47924,-0.078349,0
0.44511,-0.080217,0
0.41148,-0.081783,0
0.37859,-0.083021,0
0.34663,-0.08391,0
0.3158,-0.084439,0
0.28623,-0.084606,0
0.25807,-0.084417,0
0.23139,-0.083887,0
0.20626,-0.083036,0
0.1827,-0.081892,0
0.16074,-0.080481,0
0.14034,-0.078835,0
0.12146,-0.076978,0
0.10405,-0.074932,0
0.088024,-0.072706,0
0.073285,-0.070294,0
0.059724,-0.067666,0
0.047222,-0.064764,0
0.035665,-0.061505,0
0.02495,-0.057777,0
0.015013,-0.053449,0
0.0058425,-0.048386,0
-0.0025015,-0.042458,0
-0.0098762,-0.035571,0
-0.016053,-0.027703,0
-0.020739,-0.018952,0
-0.023623,-0.009589,0
-0.024573,-7.3977e-11,0
-0.023623,0.009589,0
-0.020739,0.018952,0
-0.016053,0.027703,0
-0.0098762,0.035571,0
-0.0025015,0.042458,0
0.0058425,0.048386,0
0.015013,0.053449,0
0.02495,0.057777,0
0.035665,0.061505,0
0.047222,0.064764,0
0.059724,0.067666,0
0.073285,0.070294,0
0.088024,0.072706,0
0.10405,0.074932,0
0.12146,0.076978,0
0.14034,0.078835,0
0.16074,0.080481,0
0.1827,0.081892,0
0.20626,0.083036,0
0.23139,0.083887,0
